year,age,people,sex
1996,37,407895,Female
1996,38,377833,Male
1996,38,398588,Female
1996,39,371267,Male
1996,39,396033,Female
1996,40,351739,Male
1996,40,376835,Female
1996,41,362150,Male
1996,41,390820,Female
1996,42,333872,Male
1996,42,363236,Female
1996,43,351230,Male
1996,43,382520,Female
1996,44,348165,Male
1996,44,378898,Female
1996,45,345154,Male
1996,45,380194,Female
1996,46,360270,Male
1996,46,401970,Female
1996,47,301201,Male
1996,47,338513,Female
1996,48,269204,Male
1996,48,305508,Female
1996,49,256544,Male
1996,49,297798,Female
1996,50,166947,Male
1996,50,198840,Female
1996,51,197974,Male
1996,51,236160,Female
1996,52,177897,Male
1996,52,214184,Female
1996,53,231583,Male
1996,53,281956,Female
1996,54,300051,Male
1996,54,367402,Female
1996,55,310641,Male
1996,55,383745,Female
1996,56,336827,Male
1996,56,426999,Female
1996,57,355797,Male
1996,57,453658,Female
1996,58,374633,Male
1996,58,468527,Female
1996,59,302140,Male
1996,59,381818,Female
1996,60,257036,Male
1996,60,321703,Female
1996,61,194562,Male
1996,61,244322,Female
1996,62,165776,Male
1996,62,217421,Female
1996,63,205052,Male
1996,63,285364,Female
1996,64,215510,Male
1996,64,295504,Female
1996,65,246428,Male
1996,65,356327,Female
1996,66,231857,Male
1996,66,344131,Female
1996,67,236227,Male
1996,67,366263,Female
1996,68,216780,Male
1996,68,342638,Female
1996,69,183382,Male
1996,69,340425,Female
1996,70,158068,Male
1996,70,320928,Female
1996,71,139584,Male
1996,71,310284,Female
1996,72,116814,Male
1996,72,270418,Female
1996,73,95456,Male
1996,73,244294,Female
1996,74,84494,Male
1996,74,207160,Female
